Row,Preview,TrueSet,PredSet,FP,FN,MaxPPL,MeanPPL_All,MeanPPL_YesOnly,PPL_ByLabel,Notes
14,"First Menstruation after MA Hi everyone, I just want to ask: When does the first menstruation usually occur after a medical abortion?  It’s been 5 weeks and 2 days since my MA, and I was bleeding for a while, but now it’…","{'Pregnancy', 'Medical'}",{'Medical'},[],['Pregnancy'],1.2865060916757152,1.035898185515577,1.0005534242338618,"{'Medical': 1.0005534242338618, 'Mental Health': 1.0000001936126681, 'Abuse': 1.0000006704275366, 'Aggression': 1.0000007896312857, 'Sexual': 1.0000003128163746, 'Discrimination': 1.000000432020081, 'Pregnancy': 1.2865060916757152, 'Not Applicable': 1.0001235697070932}",
15,"Am I having a miscarriage? Hi, sorry if this type of question is not allowed here but I am worried. So I have recently been getting a “period” for the past week, but the “blood” is dark brown with little bits of dark red…","{'Medical', 'Mental Health'}","{'Medical', 'Pregnancy', 'Mental Health'}",['Pregnancy'],[],1.223132615566771,1.027961228014372,1.0745624752023764,"{'Medical': 1.223132615566771, 'Mental Health': 1.0005537820014745, 'Abuse': 1.000000432020081, 'Aggression': 1.0000005512238017, 'Sexual': 1.0000005512238017, 'Discrimination': 1.000000432020081, 'Pregnancy': 1.0000010280388834, 'Not Applicable': 1.000000432020081}",
16,"i have heard my dad talk about s*x and his ED twice now :/ first time it happened he was being really loud, i was in the other room (he knew i was home) . my Mom told him to be quiet so i wouldn’t hear him but he kept go…","{'Sexual', 'Mental Health', 'Abuse'}",{'Sexual'},[],"['Abuse', 'Mental Health']",1.1737771316182557,1.025797005690082,1.1737771316182557,"{'Medical': 1.0000003128163746, 'Mental Health': 1.0142647665922269, 'Abuse': 1.0183160137760248, 'Aggression': 1.0000001936126681, 'Sexual': 1.1737771316182555, 'Discrimination': 1.0000003128163746, 'Pregnancy': 1.000000432020081, 'Not Applicable': 1.0000168822686506}",
17,Venting/looking for some comfort? Before i start this venting/ranting session i want to say im 100% pro choice and supportive of any decision a woman chooses to make but recently back in april i had a SA and it was entir…,"{'Pregnancy', 'Abuse', 'Mental Health'}","{'Discrimination', 'Pregnancy', 'Mental Health', 'Aggression', 'Medical', 'Abuse'}","['Aggression', 'Discrimination', 'Medical']",[],1.1737766418803748,1.0326538108929657,1.0435381910480732,"{'Medical': 1.1737766418803748, 'Mental Health': 1.0000015048541353, 'Abuse': 1.0000007896312857, 'Aggression': 1.023519307893033, 'Sexual': 1.0000001936126681, 'Discrimination': 1.0639301123983247, 'Pregnancy': 1.0000007896312857, 'Not Applicable': 1.0000011472426182}",
18,Im so confused on what happened with my boss (NSFW) I got this new job about a month ago. Its a small family owned store the boss and his wife both run the store and their kids are always hanging out there.   From the mo…,{'Abuse'},{'Mental Health'},['Mental Health'],['Abuse'],1.1737766418803748,1.0393381917589557,1.1737766418803748,"{'Medical': 1.000000432020081, 'Mental Health': 1.1737766418803748, 'Abuse': 1.0040868489452766, 'Aggression': 1.0000001936126681, 'Sexual': 1.1353373027030986, 'Discrimination': 1.0000001936126681, 'Pregnancy': 1.0000003128163746, 'Not Applicable': 1.001503608481102}",
19,"Somone please offer advise i need help So I had a miscarriage, I was supposed to be 6 weeks. Went to the hospital today for an ultrasound, waited TWELVE hours for a doctor to come discuss my results. Doctor told me they …","{'Pregnancy', 'Medical', 'Mental Health'}","{'Medical', 'Pregnancy', 'Discrimination', 'Mental Health'}",['Discrimination'],[],1.1737761696333262,1.021722801534525,1.0434451710489474,"{'Medical': 1.000001266446481, 'Mental Health': 1.0000015048541353, 'Abuse': 1.0000007896312857, 'Aggression': 1.0000003128163746, 'Sexual': 1.0000003128163746, 'Discrimination': 1.1737761696333262, 'Pregnancy': 1.0000017432618467, 'Not Applicable': 1.0000003128163746}",
20,I've just learned from my sister that our mutual friend masturbated while he was video calling her several times. I have had that experience once but wasn't sure if he was doing it. What should I say to him? My sister an…,"{'Sexual', 'Mental Health', 'Abuse'}","{'Sexual', 'Abuse'}",[],['Mental Health'],1.17377581982082,1.0466327302097054,1.118852906657848,"{'Medical': 1.0000003128163746, 'Mental Health': 1.0000168822686506, 'Abuse': 1.1737758198208201, 'Aggression': 1.0000001936126681, 'Sexual': 1.0639299934948756, 'Discrimination': 1.0000003128163746, 'Pregnancy': 1.000000432020081, 'Not Applicable': 1.1353378948277986}",
21,"For those of you who had blighted ovum, how was your hcg? Was your hcg normal but low or was it simply not going up every 2 days?",{'Medical'},{'Pregnancy'},['Pregnancy'],['Medical'],1.1737752251397993,1.021812668610619,1.0000136637196528,"{'Medical': 1.1737752251397993, 'Mental Health': 1.0000001936126681, 'Abuse': 1.000000432020081, 'Aggression': 1.0000005512238017, 'Sexual': 1.000000432020081, 'Discrimination': 1.0000005512238017, 'Pregnancy': 1.0000136637196528, 'Not Applicable': 1.0007102999250679}",
22,"Is it normal for my body to react this way?🥴 Im starting to think that there might be a correlation between physical touch and whether I develop a crush on a guy that i dont find attractive at all, like at alll.  About a…",set(),"{'Abuse', 'Mental Health'}","['Abuse', 'Mental Health']",[],1.1353389775709055,1.0170099108739885,1.067670062406762,"{'Medical': 1.0000001936126681, 'Mental Health': 1.1353389775709055, 'Abuse': 1.0000011472426182, 'Aggression': 1.0000001936126681, 'Sexual': 1.000710419277288, 'Discrimination': 1.0000003128163746, 'Pregnancy': 1.0000003128163746, 'Not Applicable': 1.0000277300430114}",
23,"Was I sexually harassed? Idk what to call it I've recently reevaluated an experience I had with my former best friend. I don't really know what to call it and I can't find articles that mention it, so idk.   (tldr at the…",{'Sexual'},"{'Abuse', 'Mental Health'}","['Abuse', 'Mental Health']",['Sexual'],1.1353377933206852,1.0198630954787284,1.0768276186278989,"{'Medical': 1.0000003128163746, 'Mental Health': 1.0183174439351121, 'Abuse': 1.1353377933206852, 'Aggression': 1.0000001936126681, 'Sexual': 1.0052478432884369, 'Discrimination': 1.0000001936126681, 'Pregnancy': 1.000000432020081, 'Not Applicable': 1.0000005512238017}",
24,D&C I had my D&C today for an incomplete miscarriage. I miscarried on Mothers Day but unfortunately didn’t pass everything and despite waiting this long I still had retained products so I opted for the procedure rather t…,"{'Pregnancy', 'Medical', 'Mental Health'}","{'Medical', 'Pregnancy'}",[],['Mental Health'],1.1353376579778816,1.0169178087718924,1.0000013260484053,"{'Medical': 1.0000010280388834, 'Mental Health': 1.1353376579778816, 'Abuse': 1.000000432020081, 'Aggression': 1.0000006704275366, 'Sexual': 1.000000432020081, 'Discrimination': 1.0000001936126681, 'Pregnancy': 1.000001624057927, 'Not Applicable': 1.000000432020081}",
25,"My boss watched it happen and did nothing I'm still struggling to feel okay, it's objectively not that bad and I'm a guy, I should be tough and not feel violated, but I do.  So I work at a grocery store, today I was help…","{'Mental Health', 'Abuse'}","{'Abuse', 'Aggression', 'Mental Health'}",['Aggression'],[],1.1054024475203317,1.0234377126028424,1.0351348742672872,"{'Medical': 1.0, 'Mental Health': 1.000001266446481, 'Abuse': 1.000000908835049, 'Aggression': 1.1054024475203315, 'Sexual': 1.0000103259777622, 'Discrimination': 1.0820860072066596, 'Pregnancy': 1.000000432020081, 'Not Applicable': 1.0000003128163746}",
26,"Getting an abortion and don’t want to, not sure how to cope with it. would an SA be easier than an MA? I’m (22F) found out i was pregnant about a week or so ago and according to an app I’m at about 8 weeks, and I honestl…","{'Pregnancy', 'Medical', 'Mental Health'}","{'Discrimination', 'Pregnancy', 'Mental Health', 'Medical', 'Abuse'}","['Abuse', 'Discrimination']",[],1.1054010144763955,1.0260136076247353,1.041621527869266,"{'Medical': 1.0639291611711037, 'Mental Health': 1.000000908835049, 'Abuse': 1.1054010144763957, 'Aggression': 1.0000001936126681, 'Sexual': 1.0, 'Discrimination': 1.0387754076211633, 'Pregnancy': 1.0000011472426182, 'Not Applicable': 1.0000010280388834}",
27,"Abortion Procedure, Gyno appointment shortly after, advice needed I am 6 weeks pregnant, found out about a week and a half ago when I missed my period. I am in a legal state (elective abortions allowed up to 16 weeks).  …","{'Pregnancy', 'Medical', 'Mental Health'}","{'Medical', 'Pregnancy', 'Discrimination'}",['Discrimination'],['Mental Health'],1.1054006520977635,1.0131775661119526,1.0351397194754677,"{'Medical': 1.000017001474503, 'Mental Health': 1.0000005512238017, 'Abuse': 1.0000001936126681, 'Aggression': 1.0000003128163746, 'Sexual': 1.0, 'Discrimination': 1.1054006520977637, 'Pregnancy': 1.0000015048541353, 'Not Applicable': 1.0000003128163746}",
28,"My maths teacher sexually abused and molested me when I was 14. It still haunts me in my dream. My maths teacher. She was a 28 year old lady when I was 14 and I was doing my 9th grade. During school, she used to sit near…","{'Sexual', 'Mental Health', 'Abuse'}","{'Abuse', 'Aggression', 'Mental Health'}",['Aggression'],['Sexual'],1.1054005367954964,1.0180225905809432,1.0129262177947789,"{'Medical': 1.0, 'Mental Health': 1.0000005512238017, 'Abuse': 1.0000024584852079, 'Aggression': 1.0387756436753268, 'Sexual': 1.0000005512238017, 'Discrimination': 1.1054005367954964, 'Pregnancy': 1.0000006704275366, 'Not Applicable': 1.0000003128163746}",
29,SA at 8 weeks 4 days I'm 6 days post abortion Hello everyone this group has helped me tremendously with going through with my procedure and just easing my fears and worries but does anyone else have really bad cramping o…,"{'Pregnancy', 'Mental Health'}",{'Pregnancy'},[],['Mental Health'],1.0820864909369083,1.0132240704978783,1.000027968457316,"{'Medical': 1.0235182364668538, 'Mental Health': 1.0820864909369083, 'Abuse': 1.0001586168564363, 'Aggression': 1.0000005512238017, 'Sexual': 1.0000003128163746, 'Discrimination': 1.0000001936126681, 'Pregnancy': 1.0000279684573161, 'Not Applicable': 1.0000001936126681}",
30,I’m having a miscarriage but have no OB and no insurance. What should my next steps be? I'm about 8 weeks along. I started bleeding yesterday and have continued all day today. I have applied for Medicaid but am in a wait…,"{'Pregnancy', 'Medical', 'Mental Health'}","{'Medical', 'Pregnancy', 'Discrimination', 'Mental Health'}",['Discrimination'],[],1.0639298745914396,1.0079925957743758,1.01598484893145,"{'Medical': 1.0000059154060519, 'Mental Health': 1.0000026968932603, 'Abuse': 1.0000003128163746, 'Aggression': 1.000000432020081, 'Sexual': 1.0000003128163746, 'Discrimination': 1.0639298745914396, 'Pregnancy': 1.000000908835049, 'Not Applicable': 1.0000003128163746}",
31,"For two years police in Basalt, CO have gone to my job sites as well as driven past my house daily. Hello, I moved to Basalt Colorado two years ago from Tennessee. I began noticing in Tennessee whenever I would go out fo…",{'Not Applicable'},"{'Abuse', 'Mental Health'}","['Abuse', 'Mental Health']",['Not Applicable'],1.0497900684130568,1.007708012919415,1.0275191936481454,"{'Medical': 1.0000003128163746, 'Mental Health': 1.0497900684130568, 'Abuse': 1.0052483188832342, 'Aggression': 1.0000584859157449, 'Sexual': 1.0000003128163746, 'Discrimination': 1.004087088338265, 'Pregnancy': 1.000000432020081, 'Not Applicable': 1.0024790841521896}",
32,"Abortion, bf commented and I can’t stop thinking about I got a surgical abortion three days ago and yesterday my bf and I had sex. Afterwards he told me that it felt like I was bigger down there. Is that normal? Will I g…","{'Pregnancy', 'Sexual', 'Mental Health'}","{'Medical', 'Pregnancy', 'Sexual'}",['Medical'],['Mental Health'],1.0387749277735203,1.0049855216938703,1.0132531969952616,"{'Medical': 1.000553543450892, 'Mental Health': 1.0001235697070932, 'Abuse': 1.0000001936126681, 'Aggression': 1.000000432020081, 'Sexual': 1.0004311197613724, 'Discrimination': 1.0000001936126681, 'Pregnancy': 1.0387749277735205, 'Not Applicable': 1.0000001936126681}",
33,"Did air travel cause miscarriage? I know flying did not cause my miscarriage, but the way the ER doctor and my OB said, “oh you’ve been on a plane recently” when I started to miscarry just makes me upset. I flew on a 3 h…","{'Pregnancy', 'Medical'}","{'Medical', 'Pregnancy', 'Mental Health'}",['Mental Health'],[],1.03019936143667,1.0038983028821962,1.0102512315018604,"{'Medical': 1.0005534242338618, 'Mental Health': 1.03019936143667, 'Abuse': 1.0000001936126681, 'Aggression': 1.0000003128163746, 'Sexual': 1.000000432020081, 'Discrimination': 1.00043100047158, 'Pregnancy': 1.000000908835049, 'Not Applicable': 1.0000007896312857}",
34,"Pregnant again after abortion? I got an abortion about 3-4 weeks ago. The first time we had sex vaginally a few days ago , the condom broke …. Which is just insane to me.   Anyways , three days before I took a plan b ( w…","{'Pregnancy', 'Medical', 'Sexual', 'Mental Health'}","{'Medical', 'Pregnancy', 'Sexual'}",[],['Mental Health'],1.0301985286362103,1.0055599196812977,1.0148215205583062,"{'Medical': 1.0142647665922269, 'Mental Health': 1.0000131868988307, 'Abuse': 1.0000003128163746, 'Aggression': 1.0000005512238017, 'Sexual': 1.0301985286362105, 'Discrimination': 1.000000432020081, 'Pregnancy': 1.000001266446481, 'Not Applicable': 1.0000003128163746}",
35,"I survived abuse, miscarried his baby, and now I’m grieving with no one to talk to I'm 17 and I recently found out I miscarried. It was my ex's baby. he was extremely toxic and emotionally abusive, slapped me a handful o…","{'Pregnancy', 'Abuse', 'Mental Health'}","{'Pregnancy', 'Abuse', 'Aggression', 'Mental Health'}",['Aggression'],[],1.030198286855558,1.0053102969790262,1.0002936170512793,"{'Medical': 1.0301982868555581, 'Mental Health': 1.0000006704275366, 'Abuse': 1.0000007896312857, 'Aggression': 1.0011713840883674, 'Sexual': 1.0, 'Discrimination': 1.0111094271588654, 'Pregnancy': 1.000001624057927, 'Not Applicable': 1.0000001936126681}",
36,"Not A question, just a story. I never thought it would happen so close to me. TW: THREATS AND MENTIONS OF SUICIDE Theres a guy at my school who's harassed 4 girls and he has told me and many other people to &gt;!kill the…","{'Discrimination', 'Mental Health', 'Abuse'}","{'Abuse', 'Aggression', 'Discrimination', 'Mental Health'}",['Aggression'],[],1.023518833186278,1.0056973554153208,1.011255971486599,"{'Medical': 1.0000001936126681, 'Mental Health': 1.0031836012710575, 'Abuse': 1.00000424654619, 'Aggression': 1.0183172049428704, 'Sexual': 1.0004308812400347, 'Discrimination': 1.023518833186278, 'Pregnancy': 1.0000003128163746, 'Not Applicable': 1.0001235697070932}",
37,Natural Miscarriage - Timeline so far I found out last Saturday 21st (at 8 weeks) that baby was measuring 6w1d without a heartbeat. I had experienced very pale brown spotting for a day or so prior. Wednesday 25th I had t…,"{'Pregnancy', 'Medical'}","{'Medical', 'Pregnancy', 'Mental Health'}",['Mental Health'],[],1.0111103801283778,1.0013893990407507,1.003704463278902,"{'Medical': 1.000001266446481, 'Mental Health': 1.0111103801283778, 'Abuse': 1.0000003128163746, 'Aggression': 1.000000432020081, 'Sexual': 1.0000003128163746, 'Discrimination': 1.0000001936126681, 'Pregnancy': 1.0000017432618467, 'Not Applicable': 1.0000005512238017}",
38,Had miscarriage last year The night that I took the test something told me to video it. So I did that my boyfriend was not at the house at this time. So it was just me in the video. My face was stunned by the test. I try…,"{'Pregnancy', 'Mental Health'}","{'Medical', 'Pregnancy', 'Mental Health'}",['Medical'],[],1.011109667284498,1.0013899357571048,1.003705934257086,"{'Medical': 1.011109667284498, 'Mental Health': 1.0000066306326245, 'Abuse': 1.0000001936126681, 'Aggression': 1.000000432020081, 'Sexual': 1.000000432020081, 'Discrimination': 1.0000001936126681, 'Pregnancy': 1.0000015048541353, 'Not Applicable': 1.000000432020081}",
39,Lactating after loss.. I miscarried last week at 18 weeks 2 days. It has been 10 days and now I’ve started lactating. My fiancé is the one who figured it out( you can probably guess how ) lol. 😂 I’m not exactly sure what…,{'Pregnancy'},"{'Pregnancy', 'Mental Health'}",['Mental Health'],[],1.011109309450243,1.001442996873818,1.0002164315254367,"{'Medical': 1.011109309450243, 'Mental Health': 1.0004312389929462, 'Abuse': 1.0000001936126681, 'Aggression': 1.000000908835049, 'Sexual': 1.0000001936126681, 'Discrimination': 1.0000001936126681, 'Pregnancy': 1.000001624057927, 'Not Applicable': 1.0000003128163746}",
40,"I miscarried and my partner left me TW: abortion, semi-graphic descriptions  About a week ago I found out I was pregnant. This came a few weeks after my partner and I had a mishap with the condom and I decided plan B wou…","{'Pregnancy', 'Medical', 'Abuse', 'Mental Health'}","{'Medical', 'Pregnancy', 'Mental Health'}",[],['Abuse'],1.006738329505765,1.0008909176452938,1.0000929345064404,"{'Medical': 1.0002617276809012, 'Mental Health': 1.0000032929132987, 'Abuse': 1.006738329505765, 'Aggression': 1.0000001936126681, 'Sexual': 1.0000131868988307, 'Discrimination': 1.0000962764019639, 'Pregnancy': 1.0000137829251212, 'Not Applicable': 1.0000005512238017}",
41,"I would love to know how you would react Hello everyone-  Today I was walking in my neighborhood past a house that I always walk by. This house, in particular, has flags and signs that would allude to the fact that they …","{'Mental Health', 'Abuse'}",{'Mental Health'},[],['Abuse'],1.0052477234535628,1.0009915065784756,1.002479323161857,"{'Medical': 1.000000432020081, 'Mental Health': 1.002479323161857, 'Abuse': 1.0002036803379246, 'Aggression': 1.0000001936126681, 'Sexual': 1.0000001936126681, 'Discrimination': 1.0000001936126681, 'Pregnancy': 1.0000003128163746, 'Not Applicable': 1.0052477234535628}",
42,How long does it take for the pills to reach me? I am 9 weeks pregnant from Poland and I ordered   abortion pills from WHW Anyone from Poland who had the same experience please tell me how long it took for the pills to r…,"{'Pregnancy', 'Medical'}",{'Pregnancy'},[],['Medical'],1.0040869686417635,1.0005170455063792,1.00000222007744,"{'Medical': 1.000045611249943, 'Mental Health': 1.0040869686417637, 'Abuse': 1.0000001936126681, 'Aggression': 1.0000005512238017, 'Sexual': 1.0000001936126681, 'Discrimination': 1.0000003128163746, 'Pregnancy': 1.0000022200774399, 'Not Applicable': 1.0000003128163746}",
43,"MA at home, a lot easier than expected so i’m not sure it worked? I took my mife pill monday at 3pm, took first dose of miso (4 pills) on tuesday at 3pm, took about 2 hours till i had any cramping but i did take ibuprofe…","{'Pregnancy', 'Medical', 'Mental Health'}","{'Medical', 'Pregnancy', 'Discrimination', 'Mental Health'}",['Discrimination'],[],1.0031833623270492,1.0003991923377122,1.0007975950437409,"{'Medical': 1.0000011472426182, 'Mental Health': 1.0000046041588155, 'Abuse': 1.0000001936126681, 'Aggression': 1.0000003128163746, 'Sexual': 1.0000003128163746, 'Discrimination': 1.0031833623270492, 'Pregnancy': 1.000001266446481, 'Not Applicable': 1.0000023392813167}",
44,"I need advice on my boss who has been harassing to female staff I’ve worked at my job for 2 years. One morning, a coworker told me while she was opening she dropped a tool and it broke, and she went to apologize to our b…","{'Mental Health', 'Abuse'}","{'Abuse', 'Discrimination', 'Mental Health'}",['Discrimination'],[],1.002479442433304,1.0003241365375977,1.0008313383280092,"{'Medical': 1.0000003128163746, 'Mental Health': 1.0000133061042422, 'Abuse': 1.000001266446481, 'Aggression': 1.0000001936126681, 'Sexual': 1.0000962764019639, 'Discrimination': 1.0024794424333041, 'Pregnancy': 1.000000432020081, 'Not Applicable': 1.0000018624656668}",
45,"is this harassment? i’m f14 and i was sitting in a less crowded area of my town centre on a bench to calm down because i felt overwhelmed by the crowds in most shops, so i put my earphones in and sat there for a bit. Thi…","{'Mental Health', 'Abuse'}","{'Abuse', 'Aggression', 'Mental Health'}",['Aggression'],[],1.001930971262521,1.0002449977559338,1.000651455011137,"{'Medical': 1.000000432020081, 'Mental Health': 1.0000217697129634, 'Abuse': 1.000001624057927, 'Aggression': 1.001930971262521, 'Sexual': 1.0000038889336924, 'Discrimination': 1.0000003128163746, 'Pregnancy': 1.0000006704275366, 'Not Applicable': 1.0000003128163746}",
