PostIndex,TrueLabels,PredictedLabels,Precision,Recall,F1
116,"['Abuse', 'Discrimination', 'Mental Health']","['Abuse', 'Mental Health']",1.0,0.667,0.8
117,['Abuse'],"['Abuse', 'Sexual']",0.5,1.0,0.667
118,['Abuse'],"['Mental Health', 'Sexual']",0.0,0.0,0.0
119,"['Abuse', 'Mental Health']",['Mental Health'],1.0,0.5,0.667
120,"['Abuse', 'Sexual']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
121,"['Abuse', 'Aggression', 'Mental Health']","['Abuse', 'Mental Health']",1.0,0.667,0.8
122,['Not Applicable'],['Not Applicable'],1.0,1.0,1.0
123,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
124,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Mental Health', 'Sexual']",1.0,1.0,1.0
125,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Mental Health', 'Sexual']",1.0,1.0,1.0
Macro-Avg,,,0.814,0.878,0.821
Micro-Avg,,,0.791,0.89,0.838
