PostIndex,TrueLabels,PredictedLabels,Precision,Recall,F1
43,"['Abuse', 'Medical', 'Mental Health', 'Pregnancy', 'Sexual']","['Abuse', 'Aggression', 'Medical', 'Mental Health', 'Pregnancy', 'Sexual']",0.833,1.0,0.909
44,"['Abuse', 'Mental Health', 'Pregnancy']","['Abuse', 'Aggression', 'Mental Health', 'Pregnancy']",0.75,1.0,0.857
45,"['Medical', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
46,['Not Applicable'],"['Abuse', 'Discrimination', 'Mental Health', 'Pregnancy']",0.0,0.0,0.0
47,"['Medical', 'Mental Health', 'Pregnancy']","['Discrimination', 'Medical', 'Mental Health', 'Pregnancy']",0.75,1.0,0.857
48,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
49,"['Medical', 'Pregnancy']",['Medical'],1.0,0.5,0.667
50,['Not Applicable'],"['Discrimination', 'Medical', 'Mental Health', 'Pregnancy']",0.0,0.0,0.0
51,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
52,"['Abuse', 'Mental Health']","['Abuse', 'Aggression', 'Mental Health']",0.667,1.0,0.8
53,"['Abuse', 'Mental Health']","['Abuse', 'Aggression', 'Mental Health']",0.667,1.0,0.8
54,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Mental Health']",1.0,0.667,0.8
55,"['Abuse', 'Aggression', 'Mental Health']","['Abuse', 'Aggression', 'Mental Health', 'Sexual']",0.75,1.0,0.857
56,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
57,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Discrimination', 'Mental Health']",0.667,0.667,0.667
58,"['Abuse', 'Discrimination', 'Mental Health']",['Abuse'],1.0,0.333,0.5
59,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Mental Health']",1.0,0.667,0.8
60,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
61,"['Abuse', 'Discrimination', 'Mental Health']","['Abuse', 'Discrimination', 'Mental Health']",1.0,1.0,1.0
62,"['Abuse', 'Aggression', 'Discrimination', 'Mental Health', 'Sexual']","['Abuse', 'Aggression', 'Mental Health']",1.0,0.6,0.75
63,['Mental Health'],"['Mental Health', 'Sexual']",0.5,1.0,0.667
64,"['Abuse', 'Mental Health']","['Abuse', 'Aggression', 'Mental Health']",0.667,1.0,0.8
65,['Mental Health'],"['Abuse', 'Mental Health']",0.5,1.0,0.667
66,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
67,"['Abuse', 'Aggression', 'Discrimination', 'Mental Health']","['Abuse', 'Aggression', 'Discrimination', 'Mental Health']",1.0,1.0,1.0
68,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Mental Health', 'Sexual']",1.0,1.0,1.0
69,"['Abuse', 'Mental Health']","['Abuse', 'Aggression', 'Mental Health']",0.667,1.0,0.8
70,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
71,"['Abuse', 'Sexual']","['Abuse', 'Mental Health']",0.5,0.5,0.5
72,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
73,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Mental Health']",1.0,0.667,0.8
74,"['Abuse', 'Discrimination', 'Mental Health']","['Abuse', 'Discrimination', 'Mental Health']",1.0,1.0,1.0
75,['Abuse'],"['Abuse', 'Mental Health']",0.5,1.0,0.667
Macro-Avg,,,0.788,0.88,0.808
Micro-Avg,,,0.753,0.882,0.813
